image_path,class_name,lf_has,lf_decision,lf_prob,lf_meta,lf_error,keep,correct_class,notes
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_01.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_02.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_03.jpg,Ascending_Triangle,1,1,0.6666666666666666,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 1}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_04.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_05.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_06.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_07.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_08.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_09.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_10.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_11.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_12.jpg,Ascending_Triangle,1,1,0.6666666666666666,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 1}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_13.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
data\kaggle_chart_patterns\crypto_chart_patterns\DATASET\Ascending_Triangle\AT_14.jpg,Ascending_Triangle,1,0,0.3333333333333333,"{""active_votes"": {""lf_grid_presence"": 0, ""lf_text_axis_density"": 1, ""lf_triangle_like"": 0}, ""total_weight"": 3.0}",,,,
